id,tweet,0,1,2,3,4
0,RT @nytimes: Nearly 5000 migrants arrived in Austria on Saturday after Hungary helped them travel in safety  ,http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Hungary,,,
1,"RT @ECentauri: 20,000 MIGRANTS HAVE ENTERED CROATIA SINCE HUNGARY BLOCKED ROUTE INTO EU 
#migrantcrisis ",http://dbpedia.org/resource/Croatia,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/European_Union,,
2,Hundreds of migrants leave Budapest station and start walking for the Austrian border via @BBC ,http://dbpedia.org/resource/Budapest,,,,
3,"RT @kongoecho: Historic: Germany expects 50.000 more refugees over weekend. At some point the welcome will chill, like the weather. Harsh a…",http://dbpedia.org/resource/Nazi_Germany,,,,
4,RT @business: Hundreds of refugees arrive in Germany after police in Hungary and Austria let them travel by train ,http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Austria,,
5,"Hundreds of migrants protest at Budapest station, want to go to Germany ",http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Germany,,,
6,RT @AUStockMarket: Germany receives over 100 migrants an hour: Record influx of refugees travels on packed… ,http://dbpedia.org/resource/Nazi_Germany,,,,
7,"Thousands of Migrants Reach Austria: About 2,700 migrants, desperate to leave Hungary for Western Europe, reac... ",http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Hungary,,,
8,"RT @jrosyfield: Inspired by yesterdays success, hundreds more refugees have joind the #refugeemarch from #Hungary to Austria ",http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Austria,,,
9,Refugees storm re-opened Hungary train station: Hundreds of refugees storm into Budapest station after standof... ,http://dbpedia.org/resource/Hungary,http://dbpedia.org/resource/Budapest,,,
10,RT @BBCWorld: Hundreds of migrants arrive at Hungary-Austria border at Szentgotthárd   (via @annaholligan) ,http://dbpedia.org/resource/Szentgotthárd,,,,
11,RT @Reuters: PHOTOS: Hundreds of migrants set off on foot from Budapest for Austria.  ,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Austria,,,
12,"The Latest: 11,000 migrants entered Austria, more coming ",http://dbpedia.org/resource/Austria,,,,
13,RT @guardianworld: Hundreds of refugees march from Budapest towards Austria - video ,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Austria,,,
14,"RT @OzerKhalid: ""Being in Austria feels like home"" Majed of Damascus
Walked 10 hrs
Budapest to Austria
#marchofhope #refugeeswelcome ",http://dbpedia.org/resource/Austria,http://dbpedia.org/resource/Damascus,http://dbpedia.org/resource/Budapest,http://dbpedia.org/resource/Austria,
15,RT @chafahi: 18 yr old Afghan man has pushed his grandmother in a wheelchair from Afghanistan to Hungary #refugees ,http://dbpedia.org/resource/Afghanistan,http://dbpedia.org/resource/Hungary,,,
16,"RT @Chara_fc: #refugees receive food after they arrived at a railway station in #Vienna, #Austria,Sept. 1 #refugeeswelcome ",http://dbpedia.org/resource/Vienna,http://dbpedia.org/resource/Austria,,,
17,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
18,"Migrants Crisis: Over 4,000 Walk From Serbia To Hungary  evve'' recap",http://dbpedia.org/resource/Serbia,http://dbpedia.org/resource/Hungary,,,
19,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
20,"RT @UNrefugees: Najibah, 7 months pregnant, walked for 8 days to get to #Hungary #europecrisis  ",http://dbpedia.org/resource/Hungary,,,,
21,"RT @SkyNews: Some 8,000 Migrants Reach Germany After Ordeal ",http://dbpedia.org/resource/Nazi_Germany,,,,
